codigo,descripcion,descripcion_corta
87,"87 - Vehículos automóviles, tractores, velocípedos y demás vehículos terrestres, sus partes y accesorios",Vehículos y autopartes
88,"88 - Aeronaves, vehículos espaciales y sus partes",Aeronaves
89,"89 - Barcos y demás artefactos flotantes",Barcos
90,"90 - Instrumentos y aparatos de óptica, fotografía o cinematografía, de medida, control o precisión; instrumentos y aparatos medicoquirúrgicos; partes y accesorios de estos instrumentos o aparatos",Instrumentos de precisión
91,91 - Aparatos de relojería y sus partes,Relojería
92,92 - Instrumentos musicales; sus partes y accesorios,Instrumentos musicales
93,"93 - Armas, municiones y sus partes y accesorios",Armas y municiones
94,"94 - Muebles; mobiliario medicoquirúrgico; artículos de cama y similares; aparatos de alumbrado no expresados ni comprendidos en otra parte; anuncios, letreros y placas indicadoras luminosos y artículos similares; construcciones prefabricadas",Muebles y alumbrado
95,"95 - Juguetes, juegos y artículos para recreo o deporte; sus partes y accesorios",Juguetes y deportes
96,96 - Manufacturas diversas,Manufacturas diversas
97,"97 - Objetos de arte o colección y antigüedades",Objetos de arte y antigüedades
99,99 - Mercancías no especificadas según su naturaleza,Mercancías no especificadas
